chemical,chemical_code
Sodium citrate (Rectal),0106040R0
Macrogol 4000,0106040X0
Bowel cleansing solutions,0106050B0
Magnesium citrate,0106050M0
Sodium picosulfate,0106050S0
Phosphates,0106050U0
Methylnaltrexone bromide,0106060A0
Naloxegol,0106060B0
Naldemedine,0106060C0
Prucalopride,0106070A0
Linaclotide,0106070B0
Lubiprostone,0106070C0
Other soothing haemorrhoidal preparations,010701000
Diltiazem hydrochloride,0107010AA
Acetarsol,0107010B0
Bismuth subgallate,0107010E0
Cinchocaine hydrochloride,0107010G0
Hamamelis,0107010I0
Heparinoid,0107010J0
Lidocaine hydrochloride,0107010N0
Sucralfate,0107010S0
Zinc oxide,0107010Z0
Betamethasone,0107020B0
Fluocortolone,0107020F0
Hydrocortisone,0107020J0
Prednisolone,0107020P0
Phenol,0107030P0
Glyceryl trinitrate,0107040A0
Nifedipine,0107040B0
"Skin protectives,fillers and cleansers",0108010S0
Chenodeoxycholic acid,0109010G0
Cholic acid,0109010H0
Other preparations for biliary disorders,0109010R0
Ursodeoxycholic acid,0109010U0
Obeticholic acid,0109010V0
Other pancreatin preparations,010904000
Pancreatin,0109040N0
Digoxin antibody,0201010AA
Digitoxin,0201010D0
Digoxin,0201010F0
Enoximone,0201020G0
Milrinone lactate,0201020M0
Bendroflumethiazide,0202010B0
Chlorothiazide,0202010D0
Chlortalidone,0202010F0
Cyclopenthiazide,0202010J0
Hydrochlorothiazide,0202010L0
Indapamide,0202010P0
Metolazone,0202010V0
Polythiazide,0202010X0
Xipamide,0202010Y0
Bumetanide,0202020D0
Furosemide,0202020L0
Torasemide,0202020U0
Amiloride hydrochloride,0202030C0
Spironolactone,0202030S0
Triamterene,0202030W0
Eplerenone,0202030X0
Amiloride hydrochloride with thiazides,0202040A0
Co-amilofruse (Amiloride hydrochloride/frusemide),0202040B0
Co-amilozide (Amiloride hydrochloride/hydrochlorothiazide),0202040C0
Amiloride hydrochloride with loop diuretics,0202040D0
Co-flumactone (Hydroflumethiazide/spironolactone),0202040G0
Co-triamterzide(Triamterene/hydrochlorothiazide),0202040H0
Spironolactone with thiazides,0202040S0
Spironolactone with loop diuretics,0202040T0
Triamterene with loop diuretics,0202040U0
Triamterene with thiazides,0202040V0
Mannitol,0202050M0
Bendroflumethiazide/potassium,0202080B0
Bumetanide/potassium,0202080C0
Furosemide/potassium,0202080K0
Adenosine,0203020C0
Amiodarone hydrochloride,0203020D0
Bretylium tosilate,0203020E0
Disopyramide,0203020F0
Disopyramide phosphate,0203020G0
Flecainide acetate,0203020I0
Lidocaine hydrochloride,0203020L0
Mexiletine hydrochloride,0203020P0
Propafenone hydrochloride,0203020R0
Procainamide hydrochloride,0203020S0
Quinidine bisulfate,0203020T0
Quinidine sulfate,0203020U0
Dronedarone hydrochloride,0203020X0
Pindolol with diuretic,020400010
Timolol with diuretic,020400030
Co-tenidone (Atenolol/chlortalidone),020400040
Celiprolol hydrochloride,020400060
Carvedilol,020400080
Bisoprolol fumarate with diuretic,020400090
Atenolol with thiazides,0204000A0
Nebivolol,0204000AB
Bisoprolol fumarate/aspirin,0204000AC
Acebutolol hydrochloride with diuretic,0204000B0
Acebutolol hydrochloride,0204000C0
Atenolol,0204000E0
Atenolol with diuretic,0204000F0
Betaxolol hydrochloride,0204000G0
Bisoprolol fumarate,0204000H0
Labetalol hydrochloride,0204000I0
Metoprolol tartrate,0204000K0
Nadolol,0204000M0
Oxprenolol hydrochloride,0204000N0
Pindolol,0204000P0
Propranolol hydrochloride with diuretic,0204000Q0
Propranolol hydrochloride,0204000R0
Sotalol hydrochloride,0204000T0
Atenolol with calcium channel blocker,0204000U0
Timolol,0204000V0
Metoprolol tartrate with diuretic,0204000W0
Nadolol with diuretic,0204000X0
Co-prenozide (Oxprenolol hydrochloride/cyclopenthiazide),0204000Y0
Macitentan,0205010AA
Riociguat,0205010AB
Vericiguat,0205010AC
Diazoxide,0205010E0
Hydralazine hydrochloride,0205010J0
Minoxidil,0205010N0
Bosentan,0205010U0
Iloprost,0205010V0
Sitaxentan sodium,0205010W0
Ambrisentan,0205010X0
Sildenafil(Vasodilator Antihypertensive),0205010Y0
Tadalafil (Vasodilator Antihypertensive),0205010Z0
Clonidine hydrochloride,0205020E0
Guanfacine hydrochloride,0205020G0
Methyldopa,0205020H0
Moxonidine,0205020M0
Debrisoquine sulfate,0205030H0
Guanethidine monosulfate,0205030N0
Doxazosin mesilate,0205040D0
Indoramin,0205040I0
Phenoxybenzamine hydrochloride,0205040M0
Phentolamine mesilate,0205040P0
Prazosin hydrochloride,0205040S0
Terazosin hydrochloride,0205040V0
Perindopril tosilate,0205051AA
Perindopril tosilate/indapamide,0205051AB
Perindopril with calcium channel blocker,0205051AC
Moexipril hydrochloride,0205051C0
Cilazapril,0205051E0
Captopril,0205051F0
Co-zidocapt (Hydrochlorothiazide/captopril),0205051G0
Enalapril maleate with diuretic,0205051H0
Enalapril maleate,0205051I0
Fosinopril sodium,0205051J0
Lisinopril with diuretic,0205051K0
Lisinopril,0205051L0
Perindopril erbumine,0205051M0
Perindopril erbumine with diuretic,0205051N0
Quinapril hydrochloride with diuretic,0205051P0
Quinapril hydrochloride,0205051Q0
Ramipril,0205051R0
Ramipril with calcium channel blocker,0205051S0
Trandolapril,0205051U0
Trandolapril with calcium channel blocker,0205051V0
Imidapril hydrochloride,0205051W0
Perindopril arginine,0205051Y0
Perindopril arginine with diuretic,0205051Z0
Irbesartan with diuretic,0205052A0
Olmesartan medoxomil/amlodipine,0205052AB
Olmesartan medoxomil/amlodipine/hydrochlorothiazide,0205052AC
Azilsartan medoxomil,0205052AD
Sacubitril/valsartan,0205052AE
Olmesartan medoxomil,0205052B0
Candesartan cilexetil,0205052C0
Irbesartan,0205052I0
Losartan potassium,0205052N0
Losartan potassium with diuretic,0205052P0
Telmisartan,0205052Q0
Telmisartan with diuretic,0205052R0
Valsartan,0205052V0
Eprosartan,0205052W0
Valsartan with diuretic,0205052X0
Olmesartan medoxomil/hydrochlorothiazide,0205052Y0
Aliskiren,0205053A0
Trimetaphan camsilate,0205060R0
Ketanserin,0205080A0
Amyl nitrite,0206010A0
Glyceryl trinitrate,0206010F0
Isosorbide dinitrate,0206010I0
Isosorbide mononitrate,0206010K0
Isosorbide mononitrate with aspirin,0206010W0
Amlodipine,0206020A0
Trimetazidine hydrochloride,0206020B0
Diltiazem hydrochloride,0206020C0
Felodipine,0206020F0
Isradipine,0206020I0
Lacidipine,0206020K0
Lercanidipine hydrochloride,0206020L0
Nimodipine,0206020M0
Nicardipine hydrochloride,0206020Q0
Nifedipine,0206020R0
Verapamil hydrochloride,0206020T0
Nisoldipine,0206020W0
Valsartan/amlodipine,0206020Z0
Nicorandil,0206030N0
Ivabradine,0206030Y0
Ranolazine,0206030Z0
Cinnarizine,0206040AA
Naftidrofuryl oxalate,0206040AE
Nicotinic acid derivatives,0206040AF
Pentoxifylline,0206040AG
Rutosides,0206040AH
Moxisylyte hydorchloride,0206040AI
Acetyl-l-carnitine,0206040AL
Co-dergocrine mesilate,0206040AM
Diosmin/hesperidin,0206040AT
Cilostazol,0206040X0
Dobutamine hydrochloride,0207010D0
Dopamine hydrochloride,0207010F0
Etilefrine hydrochloride,0207010G0
Dopexamine hydrochloride,0207010Y0
Metaraminol,0207020L0
Methoxamine hydrochloride,0207020N0
Noradrenaline acid tartrate,0207020R0
Phenylephrine hydrochloride,0207020X0
Midodrine hydrochloride,0207020Y0
Ephedrine hydrochloride,0207020Z0
Adrenaline,0207030A0
Reviparin sodium,0208010AA
Fondaparinux sodium,0208010AB
Bemiparin sodium,0208010AC
Lepirudin,0208010AD
Certoparin sodium sodium,0208010B0
Danaparoid sodium,0208010C0
Enoxaparin,0208010D0
Epoprostenol sodium,0208010E0
Heparin sodium,0208010K0
Dalteparin sodium,0208010L0
Heparin calcium,0208010N0
Heparin flushes,0208010P0
Tinzaparin sodium,0208010W0
Other oral anticoagulant preparations,020802000
Edoxaban,0208020AA
Acenocoumarol,0208020H0
Pentosan polysulfate sodium,0208020I0
Phenindione,0208020N0
Phenprocoumon,0208020S0
Warfarin sodium,0208020V0
INR blood testing reagents,0208020W0
Dabigatran etexilate,0208020X0
Rivaroxaban,0208020Y0
Apixaban,0208020Z0
Protamine sulfate,0208030N0
Idarucizumab,0208040A0
Aspirin,0209000A0
Clopidogrel,0209000C0
Dipyridamole,0209000L0
Ticlopidine hydrochloride,0209000U0
Dipyridamole and aspirin,0209000V0
Abciximab,0209000W0
Eptifibatide,0209000X0
Prasugrel,0209000Y0
Ticagrelor,0209000Z0
Reteplase,0210020K0
Streptokinase,0210020L0
Tenecteplase,0210020U0
Alteplase,0210020V0
Antithrombin alfa,0211000AA
Factor XIII (Recombinant),0211000AB
Etamsylate,0211000D0
Aprotinin,0211000H0
Dried factor VIII fraction,0211000I0
Dried factor IX fraction,0211000J0
Heat treated human factor IX,0211000K0
Tranexamic acid,0211000P0
Dried factor XIII fraction,0211000U0
Drotrecogin alfa,0211000V0
Protein C concentrate,0211000X0
Factor VIII Inhibitor Bypass Fraction,0211000Y0
Factor VIIa (Recombinant),0211000Z0
Ciprofibrate,021200010
Acipimox,0212000A0
Rosuvastatin calcium,0212000AA
Omega-3-acid ethyl esters,0212000AB
Simvastatin and ezetimibe,0212000AC
Colesevelam hydrochloride,0212000AD
Nicotinic acid/laropiprant,0212000AE
Lomitapide,0212000AF
Policosanol,0212000AG
Evolocumab,0212000AH
Alirocumab,0212000AI
Fenofibrate/simvastatin,0212000AJ
Bempedoic acid,0212000AK
Bempedoic acid/Ezetimibe,0212000AL
Inclisiran,0212000AM
Icosapent,0212000AN
Atorvastatin,0212000B0
Cerivastatin,0212000C0
Bezafibrate,0212000D0
Colestyramine,0212000F0
Ispaghula husk,0212000J0
Colestipol hydrochloride,0212000K0
Ezetimibe,0212000L0
Fluvastatin sodium,0212000M0
Fenofibrate,0212000P0
Gemfibrozil,0212000Q0
Nicotinic acid,0212000U0
Omega-3 marine triglycerides,0212000V0
Pravastatin sodium,0212000X0
Simvastatin,0212000Y0
Ethanolamine oleate,0213000F0
Sodium tetradecyl sulphate,0213000T0
Beclometdiprop/formoterol/glycopyrronium,0301011AB
Bambuterol hydrochloride,0301011B0
Formoterol fumarate,0301011E0
Fenoterol hydrobromide,0301011F0
Salbutamol,0301011R0
Salmeterol,0301011U0
Terbutaline sulphate,0301011V0
Indacaterol maleate,0301011X0
Olodaterol,0301011Z0
Adrenaline,0301012A0
Ephedrine hydrochloride,0301012F0
Orciprenaline sulfate,0301012S0
Ipratropium bromide,0301020I0
Oxitropium bromide,0301020P0
Tiotropium bromide,0301020Q0
Aclidinium bromide,0301020R0
Glycopyrronium bromide,0301020S0
Umeclidinium bromide,0301020T0
Aminophylline,0301030B0
Aminophylline hydrate,0301030C0
Theophylline,0301030S0
Glycopyrronium/formoterol,0301040AA
Ephedrine sulfate,0301040J0
Ephedrine hydrochloride,0301040K0
Fenoterol hydrobromide,0301040M0
Salbutamol,0301040R0
Aclidinium bromide/formoterol,0301040V0
Umeclidinium bromide/vilanterol,0301040W0
Tiotropium bromide/olodaterol,0301040X0
Indacaterol/glycopyrronium,0301040Y0
Beclometasone dipropionate,0302000C0
Budesonide,0302000K0
Fluticasone propionate (Inhalation),0302000N0
Mometasone furoate,0302000R0
Ciclesonide,0302000U0
Fluticasone furoate (Inhalation),0302000V0
Mometasone/glycoyrronium/indacaterol,0302000W0
Indacaterol/mometasone,0302000X0
Formoterol/glycopyrronium/budesonide,0302000Y0
Nedocromil sodium,0303010J0
Sodium cromoglicate,0303010Q0
Montelukast,0303020G0
Zafirlukast,0303020Z0
Roflumilast,0303030B0
Acrivastine,0304010A0
Mizolastine,0304010AA
Desloratadine,0304010AB
Levocetirizine,0304010AC
Phenylprop hydrochloride/chlorphenamine maleate,0304010AD
Rupatadine fumarate,0304010AE
Bilastine,0304010AF
Ketotifen fumarate,0304010AG
Azatadine maleate,0304010C0
Loratadine,0304010D0
Fexofenadine hydrochloride,0304010E0
Brompheniramine maleate,0304010F0
Chlorphenamine maleate,0304010G0
Clemastine fumarate,0304010H0
Cetirizine hydrochloride,0304010I0
Hydroxyzine hydrochloride,0304010J0
Cyproheptadine hydrochloride,0304010K0
Diphenhydramine hydrochloride,0304010N0
Promethazine hydrochloride,0304010W0
Terfenadine,0304010X0
Alimemazine tartrate,0304010Y0
Benralizumab,0304020AA
Timothy grass pollen allergen extract,0304020AB
White Birch pollen allergen extract,0304020AC
House dust mites allergen extract,0304020AD
Pollen allergy preparations,0304020P0
Wasp and bee venom allergy preparations,0304020W0
Omalizumab,0304020X0
Mepolizumab,0304020Y0
Reslizumab,0304020Z0
Adrenaline,0304030C0
C1-Esterase inhibitor,0304030F0
Ephedrine hydrochloride,0304030G0
Icatibant acetate,0304030H0
Doxapram hydrochloride,0305010W0
Acetylcysteine,0307000C0
Carbocisteine,0307000J0
Dornase alfa,0307000K0
Mecysteine hydrochloride,0307000L0
Tyloxapol,0307000P0
Erdosteine,0307000Q0
Mannitol,0307000R0
Ivacaftor,0307000S0
Lumacaftor/ivacaftor,0307000T0
Tezacaftor/ivacaftor,0307000U0
Other aromatic inhalation preparations,030800000
Benzoin,0308000B0
Menthol,0308000M0
Codeine phosphate,0309010C0
Dextromethorphan hydrobromide,0309010L0
Diamorphine hydrochloride,0309010N0
Methadone hydrochloride,0309010S0
Pholcodine,0309010X0
Ephedrine hydrochloride/dextromethorphan hydrobromide,0309010Y0
Other expectorantand demulcent cough preparations,030902000
Potassium iodide,030902020
Pholcodine,030902030
Diphenhydramine hydrochloride,030902040
Ammonium acetate,0309020A0
Ibuprofen/pseudoephedrine hydrochloride,0309020AA
Diphenhydramine hydrochloride/pholcodine,0309020AB
Guaiacol and codeine,0309020AC
Squill/ipecacuanha,0309020AD
Ephedrine hydrochloride/ipecacuanha,0309020AE
Pseudoephedrine hydrochloride/dextromethorphan hydrobromide,0309020AF
Citric acid monohydrate/ipecacuanha,0309020AG
Ammonium chloride/diphenhydramine hydrochloride,0309020AH
Ammonium bicarbonate,0309020B0
Simple,0309020D0
Guaifenesin,0309020G0
Glycerol,0309020H0
Squill,0309020I0
Squill opiate,0309020K0
Powdered opium,0309020N0
Pseudoephedrine hydrochloride combinations,0309020Q0
Dextromethorphan hydrobrom compound prepartions,0309020R0
Ipecacuanha,0309020T0
Brompheniramine maleate combinations,0309020U0
Liquorice,0309020V0
Terpin hydrate,0309020X0
Wild cherry bark,0309020Z0
Ephedrine hydrochloride,0310000E0
Phenylpropanolamine hydrochloride,0310000K0
Pseudoephedrine sulfate combinations,0310000M0
Pseudoephedrine hydrochloride,0310000N0
Phenylephrine hydrochloride,0310000Q0
Pirfenidone,0311010B0
Other hypnotic preparations,040101000
Sodium oxybate,0401010AC
Melatonin,0401010AD
Chloral hydrate,0401010B0
Cloral betaine,0401010C0
Clomethiazole edisilate,0401010D0
Clomethiazole,0401010F0
Flunitrazepam,0401010I0
Flurazepam hydrochloride,0401010L0
Loprazolam mesilate,0401010N0
Lormetazepam,0401010P0
Nitrazepam,0401010R0
Potassium bromide,0401010S0
Temazepam,0401010T0
Zaleplon,0401010W0
Triclofos sodium,0401010X0
Zolpidem tartrate,0401010Y0
Zopiclone,0401010Z0
Alprazolam,0401020A0
Buspirone hydrochloride,0401020B0
Chlordiazepoxide hydrochloride,0401020E0
Bromazepam,0401020G0
Diazepam,0401020K0
Lorazepam,0401020P0
Meprobamate,0401020R0
Oxazepam,0401020T0
Clorazepate dipotassium,0401020V0
Amobarbital,0401030C0
Amobarbital sodium,0401030E0
Butobarbital,0401030H0
Secobarbital sodium,0401030T0
Zuclopenthixol acetate,040201010
Risperidone,040201030
Sertindole,040201050
Olanzapine,040201060
Amisulpride,0402010A0
Quetiapine,0402010AB
Zotepine,0402010AC
Aripiprazole,0402010AD
Paliperidone,0402010AE
Melperone hydrochloride,0402010AF
Ziprasidone hydrochloride,0402010AG
Clotiapine,0402010AH
Lurasidone,0402010AI
Cariprazine,0402010AJ
Benperidol,0402010B0
Clozapine,0402010C0
Chlorpromazine hydrochloride,0402010D0
Chlorprothixene,0402010F0
Droperidol,0402010G0
Flupentixol hydrochloride,0402010H0
Fluphenazine hydrochloride,0402010I0
Haloperidol,0402010J0
Levomepromazine maleate,0402010K0
Levomepromazine hydrochloride,0402010L0
Loxapine succinate,0402010M0
Oxypertine,0402010N0
Pericyazine,0402010P0
Perphenazine,0402010Q0
Pimozide,0402010R0
Promazine hydrochloride,0402010S0
Zuclopenthixol hydrochloride,0402010T0
Sulpiride,0402010U0
Thioridazine,0402010W0
Trifluoperazine,0402010X0
Risperidone,0402020AA
Paliperidone,0402020AB
Olanzapine embonate,0402020AC
Aripiprazole,0402020AD
Flupentixol decanoate,0402020G0
Fluphenazine decanoate,0402020L0
Haloperidol decanoate,0402020T0
Pipotiazine palmitate,0402020V0
Zuclopenthixol decanoate,0402020Z0
Lithium carbonate,0402030K0
Lithium citrate,0402030P0
Valproic acid,0402030Q0
Asenapine,0402030R0
Amitriptyline hydrochloride,0403010B0
Amoxapine,0403010C0
Clomipramine hydrochloride,0403010F0
Dosulepin hydrochloride,0403010J0
Doxepin,0403010L0
Imipramine hydrochloride,0403010N0
Lofepramine hydrochloride,0403010R0
Maprotiline hydrochloride,0403010S0
Mianserin hydrochloride,0403010T0
Nortriptyline,0403010V0
Trazodone hydrochloride,0403010X0
Trimipramine maleate,0403010Y0
Isocarboxazid,0403020H0
Moclobemide,0403020K0
Phenelzine sulfate,0403020M0
Tranylcypromine sulfate,0403020Q0
Citalopram hydrobromide,0403030D0
Fluoxetine hydrochloride,0403030E0
Fluvoxamine maleate,0403030L0
Paroxetine hydrochloride,0403030P0
Sertraline hydrochloride,0403030Q0
Escitalopram,0403030X0
Citalopram hydrochloride,0403030Z0
Other antidepressant preparations,040304000
Levomilnacipran,0403040AA
Vortioxetine,0403040AB
Flupentixol hydrochloride,0403040F0
Oxitriptan,0403040R0
Tryptophan,0403040S0
Nefazodone hydrochloride,0403040T0
Reboxetine,0403040U0
Venlafaxine,0403040W0
Mirtazapine,0403040X0
Duloxetine hydrochloride,0403040Y0
Agomelatine,0403040Z0
Caffeine,0404000D0
Caffeine citrate,0404000E0
Dexamfetamine sulfate,0404000L0
Methylphenidate hydrochloride,0404000M0
Modafinil,0404000R0
Atomoxetine hydrochloride,0404000S0
Dexmethylphenidate hydrochloride,0404000T0
Lisdexamfetamine dimesylate,0404000U0
Guanfacine,0404000V0
Pitolisant hydrochloride,0404000W0
Orlistat,0405010P0
Mazindol,0405020N0
Sibutramine,0405020S0
Rimonabant,0405020T0
Naltrexone/bupropion,0405020U0
Hyoscine,0406000A0
Doxylamine succinate/pyridoxine hydrochloride,0406000AA
Palonosetron hydrochloride,0406000AB
Dimenhydrinate/cinnarizine,0406000AC
Aprepitant,0406000AD
Fosaprepitant,0406000AE
Granisetron,0406000AF
Netupitant/palonosetron hydrochloride,0406000AG
Rolapitant,0406000AH
Betahistine hydrochloride,0406000B0
Cinnarizine,0406000D0
Flunarizine dihydrochloride,0406000E0
Cyclizine hydrochloride,0406000F0
Cyclizine lactate,0406000G0
Dimenhydrinate,0406000H0
Domperidone,0406000J0
Hyoscine hydrobromide,0406000L0
Granisetron hydrochloride,0406000M0
Meclozine hydrochloride,0406000N0
Metoclopramide hydrochloride,0406000P0
Nabilone,0406000R0
Ondansetron hydrochloride,0406000S0
Prochlorperazine maleate,0406000T0
Prochlorperazine mesilate,0406000U0
Promethazine teoclate,0406000V0
Ketamine hydrochloride,0406000W0
Tropisetron,0406000Y0
Dolasetron mesilate,0406000Z0
Other non-opioid analgesic preparations,040701000
Co-methiamol (Methionine/paracetamol),040701020
Aspirin and papaveretum,0407010A0
Aspirin and caffeine,0407010AA
Paracetamol and phenylephrine hydrochloride,0407010AB
Isometheptene mucate,0407010AC
Paracetamol and ibuprofen,0407010AD
Aspirin,0407010B0
Co-codamol (Codeine phosphate/paracetamol),0407010F0
Paracetamol,0407010H0
Co-codaprin (Codeine phosphate/aspirin),0407010M0
Co-dydramol (Dihydrocodeine/paracetamol),0407010N0
Nefopam hydrochloride,0407010P0
Co-proxamol (Dextropropoxyphene hydrochloride/paracetamol),0407010Q0
Aspirin and paracetamol,0407010S0
Paracetamol and caffeine,0407010U0
Aspirin combined preparations,0407010W0
Paracetamol combined preparations,0407010X0
Morphine tartrate and cyclizine tartrate,040702020
Tramadol hydrochloride,040702040
Hydromorphone hydrochloride,040702050
Fentanyl,0407020A0
Papaveretum,0407020AB
Oxycodone hydrochloride,0407020AD
Oxycodone hydrochloride/naloxone hydrochloride,0407020AF
Tapentadol hydrochloride,0407020AG
Buprenorphine,0407020B0
Codeine phosphate,0407020C0
Dextromoramide tartrate,0407020D0
Dextropropoxyphene,0407020E0
Dihydrocodeine tartrate,0407020G0
Dipipanone hydrochloride,0407020H0
Diamorphine hydrochloride (Systemic),0407020K0
Meptazinol hydrochloride,0407020L0
Methadone hydrochloride,0407020M0
Morphine hydrochloride,0407020P0
Morphine sulfate,0407020Q0
Pentazocine hydrochloride,0407020T0
Pentazocine lactate,0407020U0
Pethidine hydrochloride,0407020V0
Morphine (Opium Tincture),0407020W0
Nalbuphine hydrochloride,0407020Y0
Oxycodone,0407020Z0
Gabapentin (Neuropathic Pain),0407030AD
Other drugs to treat neuropathic pain,0407030AF
Analgesics with anti-emetics,0407041A0
Eletriptan,0407041AA
Frovatriptan,0407041AB
Erenumab,0407041AC
Almotriptan,0407041B0
Ergotamine tartrate,0407041F0
Naratriptan hydrochloride,0407041M0
Rizatriptan,0407041R0
Sumatriptan succinate,0407041T0
Tolfenamic acid,0407041U0
Zolmitriptan,0407041Z0
Clonidine hydrochloride,0407042F0
Methysergide,0407042L0
Pizotifen malate,0407042Q0
Fremanezumab,0407042R0
Galcanezumab,0407042S0
Valproic acid,040801020
Topiramate,040801050
Clobazam,040801060
Levetiracetam,0408010A0
Felbamate,0408010AA
Tiagabine,0408010AB
Zonisamide,0408010AD
Pregabalin,0408010AE
Rufinamide,0408010AF
Stiripentol,0408010AG
Lacosamide,0408010AH
Eslicarbazepine acetate,0408010AI
Retigabine,0408010AJ
Perampanel,0408010AK
Brivaracetam,0408010AL
Cannabidiol,0408010AM
Cenobamate,0408010AN
Carbamazepine,0408010C0
Oxcarbazepine,0408010D0
Clonazepam,0408010F0
Gabapentin,0408010G0
Lamotrigine,0408010H0
Ethosuximide,0408010I0
Mesuximide,0408010K0
Phenobarbital,0408010N0
Phenobarbital sodium,0408010P0
Phenytoin sodium,0408010Q0
Primidone,0408010U0
Sodium valproate,0408010W0
Vigabatrin,0408010X0
Sultiame,0408010Y0
Phenytoin,0408010Z0
Clonazepam,0408020D0
Paraldehyde,0408020Q0
Phenytoin sodium,0408020T0
Fosphenytoin sodium,0408020U0
Midazolam maleate,0408020V0
Midazolam hydrochloride,0408020W0
Apomorphine hydrochloride,0409010A0
Safinamide,0409010AA
Opicapone,0409010AB
Apomorphine hydrochloride hemihydrate,0409010AC
Amantadine hydrochloride,0409010B0
Carbidopa,0409010D0
Ropinirole hydrochloride,0409010H0
Levodopa,0409010I0
Co-beneldopa (Benserazide/levodopa),0409010K0
Lisuride maleate,0409010L0
Co-careldopa (Carbidopa/levodopa),0409010N0
Pergolide mesilate,0409010P0
Tolcapone,0409010S0
Selegiline hydrochloride,0409010T0
Cabergoline,0409010U0
Entacapone,0409010V0
Pramipexole,0409010W0
Levodopa/carbidopa/entacapone,0409010X0
Rasagiline mesilate,0409010Y0
Rotigotine,0409010Z0
Trihexyphenidyl hydrochloride,0409020C0
Benzatropine mesilate,0409020E0
Biperiden hydrochloride,0409020G0
Orphenadrine hydrochloride,0409020N0
Procyclidine hydrochloride,0409020S0
Botulinum toxin type B,0409030A0
Botulinum toxin type A,0409030B0
Tetrabenazine,0409030C0
Piracetam,0409030P0
Riluzole,0409030R0
Tafamidis,0409030S0
Acamprosate calcium,0410010A0
Disulfiram,0410010B0
Nalmefene,0410010D0
Bupropion hydrochloride,0410020A0
Nicotine,0410020B0
Varenicline tartrate,0410020C0
Nicotine bitartrate,0410020D0
Buprenorphine hydrochloride,0410030A0
Buprenorph hydrochloride/naloxone hydrochloride,0410030B0
Methadone hydrochloride,0410030C0
Lofexidine hydrochloride,0410030D0
